Sl.No,City,State,Charger Name,Address,Latitude,Longitude,Pincode,Charger Type,Qty,Mobile App,CPO Name,Make of Charger
,,,,,,,,Type 2 22kW,1,chargeMOD,KSEB,Tirex
35,Kollam,Kerala,KSEB DC Kottiyam,"Kottiyam - kundara Rd, Kottiyam, Kollam",8.86663,76.668874,691571,CCS 2 30kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,CHAdeMO 60kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,3,chargeMOD,KSEB,Tirex
,,,,,,,,Type 2 22kW,1,chargeMOD,KSEB,Tirex
36,Ernakulam,Kerala,KSEB DC Angamaly,"Angamaly South, Angamaly, Ernakulam",10.172005,76.373209,683589,CCS 2 30kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,CHAdeMO 60kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,3,chargeMOD,KSEB,Tirex
,,,,,,,,Type 2 22kW,1,chargeMOD,KSEB,Tirex
37,Ernakulam,Kerala,KSEB DC North Paravoor,"Aluva - Paroor Rd, North Paravoor, Ernakulam",10.1457,76.256814,683520,CCS 2 30kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,CHAdeMO 60kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,3,chargeMOD,KSEB,Tirex
,,,,,,,,Type 2 22kW,1,chargeMOD,KSEB,Tirex
38,Malappuram,Kerala,KSEB DC Malappuram,"Near Sub Station, Cheri Road, Munduparamba, Malappuram",11.054428,76.092109,676509,CCS 2 30kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,CHAdeMO 60kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,3,chargeMOD,KSEB,Tirex
,,,,,,,,Type 2 22kW,1,chargeMOD,KSEB,Tirex
39,Ernakulam,Kerala,KSEB DC CGRF,"Near KSEB Section Office, North Kalamassery, Kalamassery, Ernakulam",10.053711,76.330729,683104,CCS 2 30kW ,1,chargeMOD,KSEB,Tirex
,,,,,,,,CHAdeMO 60kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,4,chargeMOD,KSEB,Tirex
,,,,,,,,Type 2 22kW,1,chargeMOD,KSEB,Tirex
40,Kollam,Kerala,KSEB DC Kundara,"Mamoodu Junction, Chandanathope, Kollam",8.957035,76.67094,691014,CCS 2 30kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,CHAdeMO 60kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,3,chargeMOD,KSEB,Tirex
,,,,,,,,Type 2 22kW,1,chargeMOD,KSEB,Tirex
41,Ernakulam,Kerala,KSEB DC Gandhi Nagar,"Gandhi Nagar, Elamkulam, Ernakulam",9.974111,76.293637,682020,CCS 2 30kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,CHAdeMO 60kW,3,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,3,chargeMOD,KSEB,Tirex
,,,,,,,,Type 2 22kW,1,chargeMOD,KSEB,Tirex
42,Kozhikode,Kerala,KSEB DC Pavangad,"Near KSEB Sub Station, Pavanangad, Kozhikode",11.312846,75.758575,673021,CCS 2 30kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,CHAdeMO 60kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,3,chargeMOD,KSEB,Tirex
,,,,,,,,Type 2 22kW,1,chargeMOD,KSEB,Tirex
43,Kozhikode,Kerala,KSEB DC Kuttikattoor,"Near KSEB Sub Station, Velliparamba, Kozhikode",11.269434,75.853855,673008,GB/T 15kW,5,chargeMOD,KSEB,Tirex
,,,,,,,,Type 2 7kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,Level 1 3.3kW,6,chargeMOD,KSEB,chargeMOD
44,Kozhikode,Kerala,KSEB DC Thamarassery,"Near KSEB Sub Station, Thamarassery, Kozhikode",11.443922,75.955806,673615,CCS 2 30kW,1,chargeMOD,KSEB,Tirex
